id,title,creator,creatorBio,creatorAvatar,tagline,description,category,imageUrl,mediaUrls,team,socialLinks,videoGenerationState,goal,pledged,backers,fundingVelocity,faq,rewards,city,country,anticipationScore,impactScore,efficiencyScore,problems,isFeatured,documents
proj-001,Saylaq Qol,Sailaq Qol,Sailaq Qol - механическая рука,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,"это технологическое устройство в формате умных перчаток, которое распознаёт жесты казахского жестового языка и мгновенно переводит их в текст или синтезированную речь.","**Saylaq Qol** — это технологическое устройство в формате умных перчаток, которое распознаёт жесты казахского жестового языка и мгновенно переводит их в текст или синтезированную речь. Перчатки оснащены гибкими сенсорами для определения движения пальцев, MPU6050 для отслеживания положения руки, а также ESP32 mini для обработки данных. Это решение позволит людям с нарушением слуха свободно общаться с окружающими, не прибегая к помощи переводчиков.

**Целевая аудитория**
1. Люди с нарушениями слуха в Казахстане 
2. Их семьи, друзья, коллеги 
3. Государственные и частные организации, обслуживающие людей с ОВЗ ",Tech,https://drive.google.com/file/d/1eM1diII2dNRFQ8tgQEdazbHha7qyjxhA/view?usp=drive_link,"[{""type"":""image"",""url"":""https://drive.google.com/file/d/1eM1diII2dNRFQ8tgQEdazbHha7qyjxhA/view?usp=drive_link
""},{""type"":""video"",""url"":""https://hailuoai.video/share/ai-video/k32kvQdlm0xA?source-scene=shared&source-media=shared_link""}]","[{""name"":""Alice"",""role"":""Founder"",""avatar"":""[URL]""},{""name"":""Bob"",""role"":""Engineer"",""avatar"":""[URL]""}]","[{""platform"":""website"",""url"":""[URL]""},{""platform"":""instagram"",""url"":""[URL]""}]",none,25000,0,0,stable,"[{""question"":""What about shipping?"",""answer"":""Worldwide in Q4.""},{""question"":""Warranty?"",""answer"":""1 year.""}]","[{""title"":""Starter"",""pledgeAmount"":25,""description"":""Thank you pack"",""isFoundersPass"":FALSE},{""title"":""Founder's Pass"",""pledgeAmount"":199,""description"":""Limited edition perks"",""isFoundersPass"":TRUE}]",Almaty,KZ,80,70,75,,,
proj-002,Januya,Team X,Bio of team,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,Ранняя диагностика болезней у куриц с помощью ИИ.,"**Ранняя диагностика болезней у куриц с помощью ИИ.**

Наш проект заключается в создании устройства для мониторинга здоровья куриц, которая будет определять заболевания и предупреждать хозяев за счет специально обученной нейросети.
**Цель:** Создание технологии для мониторинга здоровья кур, предотвращение заболеваний и смертности среди птиц, улучшение условий их содержания.
Наш проект находится в стадии разработки, на данный момент у нас имеется сборка первого сооружения с камерой, тепловизором,Raspberry Pi 4, сделанная из дерева. Кроме того, у нас имеется первичное приложение предназначенное для IOS пользователей с диагностикой, видеонаблюдением и информацией для профилактики и безопасности куриц. На нынешнем этапе нам важно сосредоточиться на тестировании прототипа, использовании всевозможных ресурсов для улучшения сооружения и приложения, а также продвижении в социальных сетях. С течением времени, если проект получит достаточную поддержку и внимания, то можно будет переходить к масштабированию и коммерциализации.

",Art,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.16.45.png,"[{""type"":""image"",""url"":""[URL]""}]",[],"[{""platform"":""twitter"",""url"":""[URL]""}]",done,40000,12000,150,trending_up,[],"[{""title"":""Supporter"",""pledgeAmount"":10,""description"":""Thanks"",""isFoundersPass"":FALSE}]",Berlin,DE,85,90,82,,,
proj-003,Filter AirN,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,Решение проблемы загрязнения атмосферы и снижения выбросов парниковых газов.,"**FilterAirN** — это инновационный аппарат для улавливания углекислого газа (CO₂) из воздуха и его переработки в карбонат кальция (CaCO₃), который может использоваться в промышленности. Проект направлен на решение проблемы загрязнения атмосферы и снижения выбросов парниковых газов, что способствует борьбе с глобальным потеплением и улучшению экологической ситуации.

Устройство основано на реакции гидроксида кальция с углекислым газом, в результате которой CO₂ связывается в безопасную твёрдую форму. Разработка прошла лабораторные и промышленные тесты на ТЭЦ, металлургических предприятиях и котельных, показав снижение концентрации CO₂ на выходе оборудования до 80–90%.

Технология обладает рядом преимуществ: экологичность, эффективность, безотходность, возможность интеграции в существующую промышленную инфраструктуру, а также получение ценной продукции — карбоната кальция. Проект уже получил поддержку от экологических организаций, строительных компаний и независимых экспертов.

**Целевая аудитория**
Целевая аудитория
• Промышленные предприятия с высокими выбросами CO₂: тепловые электростанции (ТЭЦ), металлургические заводы, цементные производства, нефтегазовые предприятия.
• Строительные компании, заинтересованные в экологически чистых технологиях и «зелёном» имидже, а также в использовании карбоната кальция как строительного материала.
• Государственные и муниципальные структуры, реализующие программы по снижению выбросов парниковых газов и улучшению качества воздуха.
• Экологические организации и фонды, поддерживающие проекты по защите окружающей среды и внедрению технологий по улавливанию углерода.
• Международные организации и инвесторы, финансирующие проекты в области climate tech и carbon capture.",Tech,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.16.16.png,,,,,,,,,,,,,,,,,,
proj-004,Robolabai,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**Roboalabai** это робот-помощник, который с помощью искусственного интеллекта, сенсорных систем и голосового управления способен обеспечивать безопасное передвижение человека в городской среде.

Целевая аудитория
Целевая аудитория:
Проект ориентирован на три основные группы пользователей:
1. Люди с нарушениями зрения (возрастная макулярная дегенерация, катаракта, диабетическая ретинопатия, глаукома) — нуждаются в помощи при передвижении и преодолении препятствий.
2. Пожилые люди — ценят наличие умного собеседника, способного поддерживать диалог, шутить и составлять приятную компанию.
3. Дети школьного возраста (10–16 лет) — получают от ИИ обучение базовым школьным знаниям.",Robotech,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.15.50.png,,,,,,,,,,,,,,,,,,
proj-005,AeroDrop,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"Аппарат, который добывает дистиллированную воду из воздуха, служит заменой дистиллятором или же есть второй выход через которую через фильтр добывается питьевая вода. Способна добыть более 10л воды в день.

**Целевая аудитория**
Больницы, жители сельских местности.",Tech,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.14.50.png,,,,,,,,,,,,,,,,,,
proj-006,EarlyBirds,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,,,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.14.14.png,,,,,,,,,,,,,,,,,,
proj-007,Kulaq,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,,Music,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.13.10.png,,,,,,,,,,,,,,,,,,
proj-008,"RevitaFlow
",,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,,Tech,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.11.42.png,,,,,,,,,,,,,,,,,,
proj-009,KüyArna,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,Интерактивный онлайн-помощник по обучению игре на домбре. ,"Интерактивный онлайн-помощник по обучению игре на домбре. Платформа с пошаговыми уроками, упражнениями, обратной связью и игровыми заданиями. Обучение будет бесплатным для всех желающих, с возможностью участия в челленджах, онлайн-конкурсах и ежегодном фестивале «Домбра Онлайн». Главная цель — сохранить и популяризировать казахскую музыкальную культуру и укрепить традиции, вовлекая людей всех возрастов.

**Целевая аудитория**
Школьники в селах
Студенты
Жители, желающие лучше играть",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.39.35.jpg,,,,,,,,,,,,,,,,,,
proj-010,Sabaq,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**""Sabaq""** - образовательная онлайн-платформа, созданная для обеспечения равного доступа сельских школьников к качественному дополнительному образованию.

Платформа включает:

1) Учебные курсы по школьным предметам, прикладным навыкам и творческим направлениям.
2) Систему наставничества, где опытные педагоги и специалисты помогают ученикам осваивать материал, готовиться к экзаменам и развивать интерес к обучению.
3) Оффлайн-доступ к урокам и материалам, чтобы дети могли учиться даже при слабом или нестабильном интернете.
5)Адаптацию под сельские условия - упрощённый интерфейс, малый вес файлов, использование доступных технологий.

Цель проекта - сократить образовательный разрыв между городом и селом, дать детям из отдалённых регионов возможность получать знания, развиваться и строить успешное будущее.

Целевая аудитория
Школьники из сельских регионов",,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.11.00.png,,,,,,,,,,,,,,,,,,
